Code,Name,Station name Chinese,Station name Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Interchange; Adjacent transportation
—,Sungei Bedok,双溪勿洛,சங்கை பிடோக்,2024,Sungei Bedok,SGB,Bedok,—
Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL),Thomson–East Coast Line (TEL)
TE1,Woodlands North,兀兰北,உட்லண்ட்ஸ் நார்த்,31-Jan-20,Woodlands North / Republic Polytechnic / Admiralty Park,WDN,Woodlands,—
TE2  NS9,Woodlands,兀兰,ஊட்லண்ட்ஸ்,31-Jan-20,Woodlands,WDL,Woodlands,"North South Line
― 
 Woodlands
 Woodlands Temporary"
TE3,Woodlands South,兀兰南,உட்லண்ட்ஸ் சவுத்,31-Jan-20,Woodlands South / Ulu Sembawang / Woodgrove,WDS,Woodlands,—
TE4,Springleaf,春叶,ஸ்பிரிங்லீஃவ்,28-Aug-21,Springleaf / Nee Soon / Thong Soon,SPL,Yishun,—
TE5,Lentor,伦多,லென்ட்டோர்,28-Aug-21,Lentor / Ulu Seletar / Teachers' Estate,LTR,Ang Mo Kio,—
TE6,Mayflower,美华,மேஃபிளவர்,28-Aug-21,Mayflower / Kebun Baru / Ang Mo Kio West,MFL,Ang Mo Kio,—
TE7,Bright Hill,光明山,பிரைட் ஹில்,28-Aug-21,Sin Ming / Bishan Park / Bright Hill,BRH,Bishan,—
TE8,Upper Thomson,汤申路上段,அப்பர் தாம்சன்,28-Aug-21,Upper Thomson / Thomson Plaza / Thomson Park,UTS,Bishan,—
TE9  CC17,Caldecott,加利谷,கால்டிகாட்,28-Aug-21,Caldecott,CDT,Toa Payoh,Circle Line
Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3
—,Mount Pleasant,快乐山,மவுண்ட் பிளசண்ட்,TBA,Mount Pleasant / Whitley / Onraet,MPL,Novena,—
DT10,Stevens,史蒂芬,ஸ்டீவன்ஸ்,2022,Stevens,STV,"Novena, Tanglin",Downtown Line
—,Napier,纳比雅,நேப்பியர்,2022,Napier / Botanic Gardens South / Taman Serasi,NPR,Tanglin,—
—,Orchard Boulevard,乌节大道,ஆர்ச்சர்ட் பொலிவார்ட்,2022,Orchard Boulevard / Grange Road / Tanglin,OBV,"Orchard Planning Area, River Valley Planning Area",—
NS22,Orchard,乌节,ஆர்ச்சர்ட்,2022,Orchard,ORC,"Orchard Planning Area, River Valley Planning Area",North South Line
—,Great World,大世界,கிரேட் வோர்ல்ட்,2022,Great World / Kim Seng / River Valley,GRW,"River Valley Planning Area, Singapore River Planning Area",—
—,Havelock,合乐,ஹவ்லாக்,2022,Havelock / Bukit Ho Swee / Zion Road,HVL,Bukit Merah,—
EW16  NE3,Outram Park,欧南园,ஊட்ரம் பார்க்,2022,Outram Park,OTP,"Bukit Merah, Outram","East West Line 
 North East Line
― 
 Kampong Bahru"
—,Maxwell,麦士威,மெச்ஸ்வெல்,2022,Maxwell / Ann Siang Hill / Neil Road,MAX,"Downtown Core, Outram",—
—,Shenton Way,珊顿道,ஷென்ட்டன் வே,2022,Shenton Way / Asia Square / McCallum,SHW,Downtown Core,—
NS27  CE2,Marina Bay,滨海湾,மரீனா பே,2022,Marina Bay,MRB,"Downtown Core, Straits View Planning Area","North South Line 
 Circle Line"
—,Marina South,滨海南,மரீனா சவுத்,TBA,Marina South / Straits View / Marina Boulevard,MRS,"Marina South, Straits View Planning Area",—
—,Gardens by the Bay • Taman di Pesisiran,滨海湾花园,கரையோரப் பூந்தோட்டங்கள்,2022,Gardens by the Bay / Marina Barrage / Marina Gardens,GRB,Marina South,—
Infill station,Infill station,Infill station,Infill station,Infill station,Infill station,Infill station,Infill station,Infill station
—,Founders' Memorial • Peringatan Pengasas,建国先贤纪念园,தேச நிறுவனர்கள் நினைவிட நிலையம்,2027,"Gardens Bay East, Marina East",FDM,Marina East,—
